timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1769792400,Jan 30 2026 - 5:00pm,complete,N/A,Sport Huancayo,Alianza Lima,N/A,1,0.00,0.00,1.07,2.36,1,2,3,2,1,1,"45'2","36,90'2",5,1,2,0,3,0,1,1,1,2,15,2,5,1,10,1,3,11,62,38,0.00,0.00,1.67,0.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.28,2.75,1.30,1.95,3.33,6.50,1.73,1.95,Estadio Huancayo
1769804100,Jan 30 2026 - 8:15pm,complete,N/A,UTC Cajamarca,Atlético Grau,N/A,1,0.00,0.00,1.14,0.71,2,0,2,1,1,0,"2,53","",2,2,1,0,1,0,1,0,0,1,7,7,4,2,3,5,9,7,45,55,0.00,0.00,0.90,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.10,4.11,1.36,2.15,3.50,6.85,1.83,1.85,Estadio Héroes de San Ramón
1769882400,Jan 31 2026 - 6:00pm,complete,N/A,Sport Boys,Los Chankas,N/A,1,0.00,0.00,0.92,2.14,1,1,2,1,0,1,"78","30",1,3,1,0,3,0,1,0,3,0,17,9,4,3,13,6,17,14,63,37,0.00,0.00,1.57,0.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.66,3.99,5.25,1.35,1.89,3.20,5.80,1.80,1.83,Estadio Miguel Grau del Callao
1769890500,Jan 31 2026 - 8:15pm,complete,N/A,Juan Pablo II College,FC Cajamarca,N/A,1,0.00,0.00,1.07,0.86,3,3,6,1,0,1,"53,90'6,90'12","38,73,90'17",4,4,3,0,4,1,2,1,2,3,10,12,6,4,4,8,7,15,54,46,0.00,0.00,1.30,1.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.30,3.20,1.30,1.98,3.40,6.50,1.73,2.00,N/A
1769902200,Jan 31 2026 - 11:30pm,complete,N/A,Melgar,Cienciano,N/A,1,0.00,0.00,1.50,2.07,2,0,2,1,1,0,"28,90'1","",9,9,3,0,0,0,0,3,0,0,12,13,7,3,5,10,17,10,49,51,0.00,0.00,1.31,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,3.40,4.00,1.25,1.71,3.04,5.75,1.71,1.93,N/A
1769968800,Feb 01 2026 - 6:00pm,complete,N/A,Deportivo Garcilaso,Sporting Cristal,N/A,1,0.00,0.00,1.23,1.14,1,1,2,0,0,0,"58","76",3,3,2,0,3,0,0,2,0,3,16,14,5,5,11,9,15,11,47,53,0.00,0.00,1.58,1.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.63,3.10,2.45,1.31,2.00,3.28,6.00,1.75,1.95,Estadio Inca Garcilaso de la Vega
1769976900,Feb 01 2026 - 8:15pm,complete,N/A,Alianza Atlético,Real Garcilaso,N/A,1,0.00,0.00,1.31,1.50,1,0,1,0,0,0,"66","",3,3,1,0,1,0,0,1,1,0,14,8,3,0,11,8,8,6,23,77,0.00,0.00,1.32,0.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.58,2.84,2.94,1.36,2.22,3.98,7.20,1.85,1.95,N/A
1769986800,Feb 01 2026 - 11:00pm,complete,N/A,Universitario,ADT,N/A,1,0.00,0.00,1.85,1.21,2,0,2,0,0,0,"55,57","",13,3,1,0,5,0,1,0,1,4,14,4,5,1,9,3,19,12,54,46,0.00,0.00,1.44,0.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.20,5.50,11.00,1.22,1.75,2.86,5.00,2.45,1.50,Estadio Monumental
1770062400,Feb 02 2026 - 8:00pm,complete,N/A,Comerciantes Unidos,UCV Moquegua,N/A,1,0.00,0.00,1.43,1.21,1,0,1,0,0,0,"50","",5,3,3,0,2,0,1,2,1,1,10,6,5,3,5,3,17,15,48,52,0.00,0.00,1.17,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Juan Maldonado Gamarra
1770408000,Feb 06 2026 - 8:00pm,complete,N/A,UCV Moquegua,UTC Cajamarca,N/A,2,0.00,3.00,1.21,1.14,2,3,5,2,1,1,"27,52","41,78,82",1,7,1,1,3,0,1,1,2,1,7,20,2,7,5,13,12,10,33,67,0.80,0.90,0.76,2.17,1.50,0,50,0,0,0,0,50,0,100,5.00,3.00,2.64,2.80,2.75,1.54,2.65,4.80,11.00,2.05,1.70,Estadio 25 de Noviembre
1770487200,Feb 07 2026 - 6:00pm,complete,N/A,ADT,Sport Boys,N/A,2,0.00,1.00,1.21,0.92,1,0,1,1,1,0,"45","",4,5,3,0,2,0,1,2,1,1,17,11,7,2,10,9,10,11,54,46,0.39,1.57,1.84,1.04,2.00,50,100,0,0,0,0,50,50,100,4.00,6.00,1.51,4.10,6.58,1.36,2.27,3.55,7.60,2.33,1.60,N/A
1770495300,Feb 07 2026 - 8:15pm,complete,N/A,Atlético Grau,Sport Huancayo,N/A,2,0.00,0.00,0.71,1.07,0,0,0,0,0,0,"","",5,3,2,0,1,0,0,2,0,1,14,5,4,2,10,3,17,7,59,41,0.75,1.67,1.55,0.93,2.50,50,100,50,0,0,50,100,0,100,7.00,3.00,2.22,2.63,3.60,1.40,2.18,3.85,7.82,1.95,1.82,N/A
1770512400,Feb 08 2026 - 1:00am,complete,N/A,Real Garcilaso,Universitario,N/A,2,0.00,3.00,1.50,1.85,1,1,2,0,0,0,"90","58",6,2,0,0,4,0,0,0,1,3,19,12,6,5,13,7,12,10,65,35,0.82,1.44,2.00,1.32,1.50,0,50,0,0,0,0,0,50,100,16.00,2.00,2.34,2.83,2.95,1.41,2.16,4.00,7.00,1.85,1.77,Estadio Inca Garcilaso de la Vega
1770566400,Feb 08 2026 - 4:00pm,complete,N/A,Sporting Cristal,Melgar,N/A,2,1.00,3.00,1.14,1.50,1,2,3,0,0,0,"86","53,90'7",8,5,2,1,4,1,1,2,2,3,20,11,4,3,16,8,10,8,65,35,1.50,1.31,1.89,1.10,2.00,50,100,0,0,0,0,50,50,100,12.00,6.00,1.85,3.30,4.37,1.29,2.05,3.50,7.10,1.86,1.85,Estadio Alberto Gallardo
1770574500,Feb 08 2026 - 6:15pm,complete,N/A,Los Chankas,Alianza Atlético,N/A,2,1.00,3.00,2.14,1.31,1,0,1,0,0,0,"76","",5,3,2,0,2,0,0,2,0,2,14,10,4,5,10,5,11,12,59,41,0.93,1.32,1.40,1.17,1.50,50,50,0,0,0,0,50,0,100,6.00,4.00,1.80,3.10,4.20,1.41,2.30,4.20,8.54,1.95,1.67,Estadio Los Chankas
1770582600,Feb 08 2026 - 8:30pm,complete,N/A,Cienciano,Juan Pablo II College,N/A,2,0.00,1.00,2.07,1.07,6,1,7,4,3,1,"23,18,45'4,60,68,89","13",4,6,2,0,1,0,1,1,0,1,18,11,11,4,7,7,0,1,51,49,1.09,1.30,2.15,1.22,4.00,50,100,50,50,50,0,100,50,100,13.00,3.00,1.28,4.95,9.00,1.17,1.55,2.44,3.98,1.90,1.75,Estadio Inca Garcilaso de la Vega
1770591600,Feb 08 2026 - 11:00pm,complete,N/A,Alianza Lima,Comerciantes Unidos,N/A,2,3.00,3.00,2.36,1.43,2,1,3,1,1,0,"42,87","47",8,2,2,0,3,0,1,1,1,2,21,6,8,1,13,5,13,7,68,32,0.41,1.17,2.13,0.50,2.00,50,50,50,0,0,50,50,0,100,6.00,6.00,1.25,6.20,8.50,1.22,1.68,2.97,4.75,2.20,1.50,Estadio Alejandro Villanueva
1770669000,Feb 09 2026 - 8:30pm,complete,N/A,FC Cajamarca,Deportivo Garcilaso,N/A,2,1.00,1.00,0.86,1.23,1,1,2,0,0,0,"50","90'3",3,6,7,0,2,0,1,6,1,1,6,15,2,5,4,10,23,9,43,57,1.33,1.58,0.81,1.51,4.00,100,100,50,50,50,0,50,100,100,7.00,7.00,1.96,3.16,3.96,1.36,2.20,3.58,6.75,1.91,1.80,N/A
1771012800,Feb 13 2026 - 8:00pm,complete,N/A,UTC Cajamarca,Real Garcilaso,N/A,3,3.00,0.50,1.14,1.50,1,0,1,0,0,0,"78","",7,7,1,0,2,0,0,1,1,1,22,11,5,4,17,7,3,6,37,63,1.54,1.41,2.02,1.28,2.50,50,75,25,25,25,25,50,50,100,9.00,2.50,2.75,3.10,2.52,1.32,2.05,3.50,6.50,1.79,1.95,Estadio Héroes de San Ramón
1771032600,Feb 14 2026 - 1:30am,complete,N/A,Universitario,Cienciano,N/A,3,2.00,1.50,1.85,2.07,2,1,3,1,1,0,"36,62","79",4,1,4,0,3,0,2,2,2,1,15,12,4,6,11,6,14,10,63,37,1.38,1.62,1.67,1.35,3.25,50,100,25,25,25,25,50,75,100,14.00,3.50,1.26,5.65,9.20,1.15,1.57,2.45,4.80,2.00,1.80,Estadio Monumental
1771092000,Feb 14 2026 - 6:00pm,complete,N/A,Deportivo Garcilaso,ADT,N/A,3,1.00,1.50,1.23,1.21,1,0,1,1,1,0,"9","",5,4,5,0,2,1,2,3,3,0,10,6,3,1,7,5,16,8,53,47,1.54,1.12,1.11,0.69,1.75,50,75,0,0,0,0,25,75,75,8.00,6.00,1.75,3.20,4.20,1.36,1.95,3.71,6.84,2.02,1.78,Estadio Inca Garcilaso de la Vega
1771100100,Feb 14 2026 - 8:15pm,complete,N/A,Juan Pablo II College,Sporting Cristal,N/A,3,0.50,0.50,1.07,1.14,0,2,2,1,0,1,"","9,90'2",1,9,3,1,2,0,3,1,2,0,12,24,4,7,8,17,8,16,38,62,1.26,1.69,1.21,2.45,4.50,100,100,75,50,50,25,50,100,100,10.50,5.50,3.13,3.30,2.05,1.28,1.95,3.55,6.23,1.89,1.91,N/A
1771108200,Feb 14 2026 - 10:30pm,complete,N/A,Sport Boys,Atlético Grau,N/A,3,0.50,0.50,0.92,0.71,1,0,1,0,0,0,"59","",7,2,3,0,2,0,0,3,1,1,14,8,4,0,10,8,9,12,39,61,1.31,1.15,1.32,0.71,1.25,25,50,0,0,0,0,75,0,50,6.50,3.00,2.06,3.05,3.25,1.40,2.50,4.70,8.50,1.91,1.70,Estadio Miguel Grau del Callao
